Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_A00001_001
"37087","05000US37087","Haywood County","Haywood County, North Carolina","nc","050","00","ACSSF","0000056",,,,,"37","087",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60433
"37089","05000US37089","Henderson County","Henderson County, North Carolina","nc","050","00","ACSSF","0000057",,,,,"37","089",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113625
"37091","05000US37091","Hertford County","Hertford County, North Carolina","nc","050","00","ACSSF","0000058",,,,,"37","091",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24153
"37093","05000US37093","Hoke County","Hoke County, North Carolina","nc","050","00","ACSSF","0000059",,,,,"37","093",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53239
"37095","05000US37095","Hyde County","Hyde County, North Carolina","nc","050","00","ACSSF","0000060",,,,,"37","095",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5393
"37097","05000US37097","Iredell County","Iredell County, North Carolina","nc","050","00","ACSSF","0000061",,,,,"37","097",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172525
"37099","05000US37099","Jackson County","Jackson County, North Carolina","nc","050","00","ACSSF","0000062",,,,,"37","099",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42256
"37101","05000US37101","Johnston County","Johnston County, North Carolina","nc","050","00","ACSSF","0000063",,,,,"37","101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191172
"37103","05000US37103","Jones County","Jones County, North Carolina","nc","050","00","ACSSF","0000064",,,,,"37","103",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9695
"37105","05000US37105","Lee County","Lee County, North Carolina","nc","050","00","ACSSF","0000065",,,,,"37","105",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60125
"37107","05000US37107","Lenoir County","Lenoir County, North Carolina","nc","050","00","ACSSF","0000066",,,,,"37","107",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57227
"37109","05000US37109","Lincoln County","Lincoln County, North Carolina","nc","050","00","ACSSF","0000067",,,,,"37","109",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81441
"37111","05000US37111","McDowell County","McDowell County, North Carolina","nc","050","00","ACSSF","0000068",,,,,"37","111",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45109
"37113","05000US37113","Macon County","Macon County, North Carolina","nc","050","00","ACSSF","0000069",,,,,"37","113",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34410
"37115","05000US37115","Madison County","Madison County, North Carolina","nc","050","00","ACSSF","0000070",,,,,"37","115",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21405
"37117","05000US37117","Martin County","Martin County, North Carolina","nc","050","00","ACSSF","0000071",,,,,"37","117",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23054
"37119","05000US37119","Mecklenburg County","Mecklenburg County, North Carolina","nc","050","00","ACSSF","0000072",,,,,"37","119",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1054314
"37121","05000US37121","Mitchell County","Mitchell County, North Carolina","nc","050","00","ACSSF","0000073",,,,,"37","121",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15040
"37123","05000US37123","Montgomery County","Montgomery County, North Carolina","nc","050","00","ACSSF","0000074",,,,,"37","123",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27338
"37125","05000US37125","Moore County","Moore County, North Carolina","nc","050","00","ACSSF","0000075",,,,,"37","125",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95629
"37127","05000US37127","Nash County","Nash County, North Carolina","nc","050","00","ACSSF","0000076",,,,,"37","127",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94003
"37129","05000US37129","New Hanover County","New Hanover County, North Carolina","nc","050","00","ACSSF","0000077",,,,,"37","129",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224231
"37131","05000US37131","Northampton County","Northampton County, North Carolina","nc","050","00","ACSSF","0000078",,,,,"37","131",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20186
"37133","05000US37133","Onslow County","Onslow County, North Carolina","nc","050","00","ACSSF","0000079",,,,,"37","133",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193912
"37135","05000US37135","Orange County","Orange County, North Carolina","nc","050","00","ACSSF","0000080",,,,,"37","135",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142938
"37137","05000US37137","Pamlico County","Pamlico County, North Carolina","nc","050","00","ACSSF","0000081",,,,,"37","137",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12742
"37139","05000US37139","Pasquotank County","Pasquotank County, North Carolina","nc","050","00","ACSSF","0000082",,,,,"37","139",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39479
"37141","05000US37141","Pender County","Pender County, North Carolina","nc","050","00","ACSSF","0000083",,,,,"37","141",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59020
"37143","05000US37143","Perquimans County","Perquimans County, North Carolina","nc","050","00","ACSSF","0000084",,,,,"37","143",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13459
